date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:54	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jun%202018%2009:30:54%20GMT	http://demo.bootstrapious.com/robots.txt		(from )
16:30:55	34007/34007	---MCZ	200	added ('OK')	text/html	etag:W/%22592d4050-84d7%22	http://demo.bootstrapious.com/dashboard/	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/index.html	(from )
16:30:56	150996/150996	---MCZ	200	added ('OK')	text/css	etag:W/%22592d4015-24dd4%22	http://demo.bootstrapious.com/dashboard/css/bootstrap.min.css	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/css/bootstrap.min.css	(from http://demo.bootstrapious.com/dashboard/)
16:30:56	31894/31894	---MCZ	200	added ('OK')	text/css	etag:W/%22592d401d-7c96%22	http://demo.bootstrapious.com/dashboard/css/style.default.css	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/css/style.default.css	(from http://demo.bootstrapious.com/dashboard/)
16:30:56	139/139	---M--	200	added ('OK')	text/css	etag:%22592d401a-8b%22	http://demo.bootstrapious.com/dashboard/css/grasp_mobile_progress_circle-1.0.0.min.css	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/css/grasp_mobile_progress_circle-1.0.0.min.css	(from http://demo.bootstrapious.com/dashboard/)
16:30:57	25/25	---M--	200	added ('OK')	text/css	etag:%22592d4017-19%22	http://demo.bootstrapious.com/dashboard/css/custom.css	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/css/custom.css	(from http://demo.bootstrapious.com/dashboard/)
16:30:57	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%22592d404a-1536%22	http://demo.bootstrapious.com/dashboard/img/favicon.ico	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/img/favicon.ico	(from http://demo.bootstrapious.com/dashboard/)
16:30:58	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%2236e3f25543d2a2367293a014c1eba76b%22	https://use.fontawesome.com/99347ac47f.js	E:/Study/Template/Dashboard/use.fontawesome.com/99347ac47f.js	(from http://demo.bootstrapious.com/dashboard/)
16:30:59	2492/2492	---M--	200	added ('OK')	text/css	etag:%22591a3c93-9bc%22	https://file.myfontastic.com/da58YPMQ7U5HY8Rb6UxkNf/icons.css	E:/Study/Template/Dashboard/file.myfontastic.com/da58YPMQ7U5HY8Rb6UxkNf/icons.css	(from http://demo.bootstrapious.com/dashboard/)
16:30:59	5515/5515	---M--	200	added ('OK')	image/jpeg	etag:%22592d4045-158b%22	http://demo.bootstrapious.com/dashboard/img/avatar-1.jpg	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/img/avatar-1.jpg	(from http://demo.bootstrapious.com/dashboard/)
16:31:00	34007/34007	---MCZ	200	added ('OK')	text/html	etag:W/%22592d4050-84d7%22	http://demo.bootstrapious.com/dashboard/index.html	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/index-2.html	(from http://demo.bootstrapious.com/dashboard/)
16:31:00	33305/33305	---MCZ	200	added ('OK')	text/html	etag:W/%22592d4044-8219%22	http://demo.bootstrapious.com/dashboard/forms.html	E:/Study/Template/Dashboard/demo.bootstrapious.com/dashboard/forms.html	(from http://demo.bootstrapious.com/dashboard/)
